id,realTimePosition,name,lastName,gender,age,country,business category ,company name,worth,worthChange,image,Rank,Population, % of World Population,Date,Source
9834,307,David filo,Filo,M,52,United States,Technology ,Yahoo,5.3 BUSD,530.206 millions USD,https://specials-images.forbesimg.com/imageserve/5a7de49131358e4955ad092f/416x416.jpg?background=000000&cropX1=1014&cropX2=4154&cropY1=126&cropY2=3264,3,"329,196,803",4.24%,17 Jan 2020,National population clock
9060,296,Israel englander,Englander,None,69,United States,Finance and Investments ,hedge funds,5.2 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/55fa0dd9e4b0ffa7afe4acc0/416x416.jpg?background=000000&cropX1=34&cropX2=619&cropY1=60&cropY2=645,3,"329,196,803",4.24%,17 Jan 2020,National population clock
4601,364,Bruce kovner,Kovner,M,73,United States,Finance and Investments ,hedge funds,5.2 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/57e05cda31358e16c589b926/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=26&cropY2=769,3,"329,196,803",4.24%,17 Jan 2020,National population clock
1688,385,Karen pritzker,Pritzker,None,60,United States,Service ,"hotels, investments",5.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/83fbe5433dfa59f56151a75692d7107d/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=24&cropY2=768,3,"329,196,803",4.24%,17 Jan 2020,National population clock
3550,392,Ray lee hunt,Hunt,M,75,United States,Energy ,"oil, real estate",4.9 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5605a059e4b0ffa7afe518cd/416x416.jpg?background=000000&cropX1=0&cropX2=374&cropY1=25&cropY2=399,3,"329,196,803",4.24%,17 Jan 2020,National population clock
3669,411,Sumner redstone,Redstone,M,95,United States,Media & Entertainment ,media,4.9 BUSD,-0.001 millions USD,https://specials-images.forbesimg.com/imageserve/59d65d5a31358e542c035e47/416x416.jpg?background=000000&cropX1=0&cropX2=2289&cropY1=77&cropY2=2365,3,"329,196,803",4.24%,17 Jan 2020,National population clock
5921,340,Reinhold schmieding,Schmieding,M,63,United States,Healthcare ,medical devices,4.9 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/ba18b6f38b0a9ad48193fbb68d7e2af2/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=174&cropY2=918,3,"329,196,803",4.24%,17 Jan 2020,National population clock
6221,398,Sam zell,Zell,M,76,United States,Real Estate ,"real estate, private equity",4.9 BUSD,-0.001 millions USD,https://specials-images.forbesimg.com/imageserve/55eeed2de4b0ffa7afe46f76/416x416.jpg?background=000000&cropX1=2&cropX2=741&cropY1=145&cropY2=885,3,"329,196,803",4.24%,17 Jan 2020,National population clock
8676,402,Bubba cathy,Cathy,M,64,United States,Food and Beverage ,Chick-fil-A,4.8 BUSD,0.0 millions USD,https:http://specials-images.forbesimg.com/imageserve/5601a7bae4b0ffa7afe4f31b/416x416.jpg?background=000000&cropX1=43&cropX2=624&cropY1=27&cropY2=609,3,"329,196,803",4.24%,17 Jan 2020,National population clock
5465,524,"Rupert johnson, jr.",Johnson,M,77,United States,Finance and Investments ,money management,4.8 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/57e0693fa7ea430a8a1a0744/416x416.jpg?background=000000&cropX1=0&cropX2=692&cropY1=55&cropY2=748,3,"329,196,803",4.24%,17 Jan 2020,National population clock
2513,426,Dirk ziff,Ziff,M,54,United States,Finance and Investments ,investments,4.8 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/f28727f64bd577600bfc8680b6918a8c/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=37&cropY2=781,3,"329,196,803",4.24%,17 Jan 2020,National population clock
1919,427,Robert ziff,Ziff,M,51,United States,Finance and Investments ,investments,4.8 BUSD,0.0 millions USD,https:http://specials-images.forbesimg.com/imageserve/a79b15bcfbd8937c1b3ece8bea3b6d8e/416x416.jpg?background=000000&cropX1=0&cropX2=715&cropY1=2&cropY2=717,3,"329,196,803",4.24%,17 Jan 2020,National population clock
7660,438,Gwendolyn sontheim meyer,Meyer,F,56,United States,Food and Beverage ,Cargill,4.7 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a811cf14bbe6f2652f545bd/416x416.jpg?background=000000&cropX1=200&cropX2=1698&cropY1=0&cropY2=1500,3,"329,196,803",4.24%,17 Jan 2020,National population clock
3404,325,J. christopher reyes,Reyes,M,64,United States,Food and Beverage ,food distribution,4.7 BUSD,0.0 millions USD,https:http://specials-images.forbesimg.com/imageserve/033ba8ea1f4e0697e1ca957753400dc9/416x416.jpg?background=000000&cropX1=129&cropX2=651&cropY1=68&cropY2=590,3,"329,196,803",4.24%,17 Jan 2020,National population clock
2458,458,"Paul tudor jones, ii.",Jones,M,63,United States,Finance and Investments ,hedge funds,4.5 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59d7c9a8a7ea436b47b389b8/416x416.jpg?background=000000&cropX1=284&cropX2=604&cropY1=286&cropY2=606,3,"329,196,803",4.24%,17 Jan 2020,National population clock
1668,384,John sall,Sall,M,70,United States,Technology ,software,4.5 BUSD,0.0 millions USD,https:http://specials-images.forbesimg.com/imageserve/1b5f05362e07e6167bd725cc03bc8494/416x416.jpg?background=000000&cropX1=0&cropX2=1050&cropY1=158&cropY2=1209,3,"329,196,803",4.24%,17 Jan 2020,National population clock
8663,412,John morris,Morris,M,70,United States,Fashion & Retail ,sporting goods retail,4.4 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59d7f5c5a7ea436b47b38bd1/416x416.jpg?background=000000&cropX1=549&cropX2=1262&cropY1=117&cropY2=830,3,"329,196,803",4.24%,17 Jan 2020,National population clock
6374,482,Russ weiner,Weiner,M,48,United States,Food and Beverage ,energy drinks,4.4 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59d7e37131358e542c036d89/416x416.jpg?background=000000&cropX1=1620&cropX2=3823&cropY1=831&cropY2=3034,3,"329,196,803",4.24%,17 Jan 2020,National population clock
9129,475,Tilman fertitta,Fertitta,None,60,United States,Food and Beverage ,"Houston Rockets, entertainment",4.3 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59dbd838a7ea436b47b39d0f/416x416.jpg?background=000000&cropX1=2976&cropX2=4431&cropY1=848&cropY2=2303,3,"329,196,803",4.24%,17 Jan 2020,National population clock
4689,480,Randall rollins,Rollins,M,86,United States,Service ,pest control,4.3 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/c71620af40d526c7e992f006ce03dc6f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=126&cropY2=870,3,"329,196,803",4.24%,17 Jan 2020,National population clock
1760,516,Alejandro santo domingo,Santo domingo,None,41,United States,Food and Beverage ,beer,4.3 BUSD,0.001 millions USD,https://specials-images.forbesimg.com/imageserve/59d7b38a31358e542c036a6c/416x416.jpg?background=000000&cropX1=234&cropX2=1182&cropY1=220&cropY2=1168,3,"329,196,803",4.24%,17 Jan 2020,National population clock
