id,realTimePosition,name,lastName,gender,age,country,business category ,company name,worth,worthChange,image
1742,38,Susanne klatten,Klatten,None,56,None,Automotive ,"BMW, pharmaceuticals",25.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a7e45f64bbe6f2652f5295a/416x416.jpg?background=000000&cropX1=10&cropX2=1120&cropY1=126&cropY2=1236
6655,32,David thomson,Thomson,None,61,None,Media & Entertainment ,media,25.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a7ba72aa7ea43169012f1b4/416x416.jpg?background=000000&cropX1=566&cropX2=3532&cropY1=6&cropY2=2972
1166,34,Jacqueline mars,Mars,F,78,None,Food and Beverage ,"candy, pet food",23.6 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889
4003,35,John mars,Mars,M,82,None,Food and Beverage ,"candy, pet food",23.6 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889
6893,53,Joseph safra,Safra,None,79,Brazil,Finance and Investments ,banking,23.5 BUSD,0.0 millions USD,https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502
6121,43,Giovanni ferrero,Ferrero,None,53,None,Food and Beverage ,"Nutella, chocolates",23.0 BUSD,0.0 millions USD,https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502
7316,33,Dietrich mateschitz,Mateschitz,None,74,None,Food and Beverage ,Red Bull,23.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a7b6c3831358e4955acdba2/416x416.jpg?background=000000&cropX1=790&cropX2=3611&cropY1=12&cropY2=2832
2533,36,Michael dell,Dell,M,53,None,Technology ,Dell computers,22.7 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/58c1d2e731358e1a35acba6b/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=163&cropY2=907
3957,42,Masayoshi son,Son,M,60,None,Telecom ,"internet, telecom",22.7 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5ac24da531358e4112b689b7/416x416.jpg?background=000000&cropX1=864&cropX2=4200&cropY1=0&cropY2=3334
7368,42,Serge dassault,Dassault,M,93,None,Diversified ,diversified,22.6 BUSD,nan millions USD,https://specials-images.forbesimg.com/imageserve/5a7dfc4a31358e4955ad0b78/416x416.jpg?background=000000&cropX1=598&cropX2=3315&cropY1=99&cropY2=2816
6760,51,Stefan quandt,Quandt,M,52,Germany,Automotive ,BMW,22.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/56c7cdc0e4b062f6b59a2400/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=3&cropY2=743
3872,31,Yang huiyan,Yang,F,37,China,Real Estate ,real estate,21.9 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a0b1b83a7ea436b47b558ba/416x416.jpg?background=000000&cropX1=1&cropX2=600&cropY1=3&cropY2=602
7182,49,Paul allen,Allen,M,65,None,Technology ,"Microsoft, investments",21.7 BUSD,0.0 millions USD,https:http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601
5633,39,Leonardo del vecchio,Del vecchio,M,83,None,Fashion & Retail ,eyeglasses,21.2 BUSD,0.006 millions USD,https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440
8028,79,Dieter schwarz,Schwarz,None,78,None,Fashion & Retail ,retail,20.9 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440
